employee_id,first_name,last_name,dob,ssn,hire_date,term_date,plan_name,coverage_level,effective_date
1,Omar,Lopez,1985/06/15,123-45-6789,2010-09-01,2021/05/13,VIS-BUYUP,Employee,2010-09-01
2,Jane,Doe,1990/11/22,987-65-4321,2015-03-15,2020/12/31,Dental - BASIC,Employee,2015-03-15
3,John,Smith,1978-02-10,456-78-9123,2005-07-20,2010-05-21,PPO-Med Plan,Employee + Spouse,2005-07-20
4,Alice,Johnson,1982/08/30,321-54-9876,2012-11-05,2019/06/30,Med_PPO,Employee + Family,2012-11-05
5,Bob,Brown,1995-04-12,654-32-1098,2018-01-22,2024-03-15,fsa-variation-1,Employee + Child,2018-01-22
6,Emily,Davis,1988/9/5,789-12-3456,2013-05-18,2020/5/26,Premium Dental Coverage,Employee,2013-05-18
7,Michael,Wilson,1975-12-25,147-85-3692,2000-10-10,2018/8/20,VISION Core Option,Employee + Family,2000-10-10
8,Sarah,Miller,1992-03-14,258-96-1473,2016-07-30,2020-05-15,Medical HDHP,Employee,2016-07-30
9,David ,Garcia,1980/1/19,369-74-2581,2008-04-25,2022-11-11,Basic Dental Plan,Employee + Spouse,2008-04-25
10,Linda,Martinez,1983/10/8,741-85-9632,2011-02-14,2022-12-05,FSA_VOYA,Employee,2011-02-14
11,James,Rodriguez,1979/05/23,852-96-7413,2007-06-12,2019/9/30,vision-buy-up,Employee + Family,2007-06-12
12,Patricia,Hernandez,1991-12-02,963-85-7412,2014-09-09,2021-04-18,Dental - Premium Plan,Employee + Child,2014-09-09
13,Robert,Lopez,1986-07-16,159-26-3847,2012-03-03,2023-01-20,HDHP - Medical,Employee,2012-03-03
14,Maria,Gonzalez,1984/04/28,753-19-4862,2009-08-17,2020-10-22,Dental Premium,Employee + Family,2009-08-17
15,William,Wilson,1977-11-11,852-74-9631,2003-12-01,2017/7/14,PPO Medical,Employee + Spouse,2003-12-01
16,Elizabeth,Anderson,1993/02/20,951-63-8527,2017-05-25,2021/9/30,High Deductible Medical,Employee,2017-05-25
17,Charles,Thomas,1981-9-9,357-28-1496,2006-11-15,2018-04-10,Medical PPO Core,Employee + Child,2006-11-15
18,Susan,Taylor,1987/5/30,258-47-3691,2013-08-22,2020/02/28,Dental Basic,Employee,2013-08-22
19,Joseph,Moore,1976/3/3,654-98-3217,2001-04-18,2016-12-31,MED PPO - Core,Employee + Family,2001-04-18
20,Karen,Jackson,1994-10-19,789-45-1236,2018-06-14,2023-2-28,Med_PPO,Employee + Spouse,2018-06-14
